epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.90603,1.56486,2.84493,1.32171,0.00333,0.94286,0.2564,0.13046,1.07303,3.17679,1.04939,0.00052,0.00052,0.00052
2,7.31559,1.57448,1.86277,1.20243,0.92589,0.35747,0.56805,0.30512,1.22681,2.73827,1.13857,0.00103901,0.00103901,0.00103901
3,9.63461,1.548,1.67732,1.23336,0.13512,0.34286,0.09966,0.04896,1.45983,2.63625,1.35928,0.00153664,0.00153664,0.00153664
4,11.9162,1.53552,1.57008,1.2699,0.55476,0.45714,0.54927,0.29755,1.12758,1.92454,1.20034,0.0018812,0.0018812,0.0018812
5,14.2193,1.51248,1.45999,1.25223,0.93726,0.85368,0.91735,0.51855,1.26598,1.38816,1.29262,0.0018416,0.0018416,0.0018416
6,16.484,1.53137,1.35822,1.27112,0.52302,0.65714,0.57081,0.32242,1.46247,1.96662,1.38809,0.001802,0.001802,0.001802
7,18.7605,1.57514,1.34193,1.28341,0.85895,0.65714,0.76655,0.41687,1.20673,2.47249,1.19309,0.0017624,0.0017624,0.0017624
8,21.0632,1.4962,1.23843,1.24843,0.60118,0.85714,0.66834,0.3821,1.30778,1.71256,1.18181,0.0017228,0.0017228,0.0017228
9,23.3182,1.47842,1.19253,1.25051,0.83622,0.88571,0.87465,0.49905,1.2475,1.12375,1.13816,0.0016832,0.0016832,0.0016832
10,25.601,1.42546,1.11329,1.2143,0.85196,0.85714,0.92422,0.56922,1.2111,0.94541,1.17427,0.0016436,0.0016436,0.0016436
11,28.576,1.42367,1.07437,1.21768,0.88471,0.94286,0.9774,0.59635,1.16282,0.89217,1.1492,0.001604,0.001604,0.001604
12,30.8804,1.40882,1.06005,1.19301,0.84209,0.9142,0.92989,0.55496,1.23481,0.80885,1.17429,0.0015644,0.0015644,0.0015644
13,33.1472,1.42325,1.04015,1.21534,0.72024,0.91429,0.90171,0.57535,1.09695,0.84662,1.1271,0.0015248,0.0015248,0.0015248
14,35.369,1.37158,1.01878,1.19216,0.88549,0.94286,0.96465,0.56613,1.24029,0.937,1.19267,0.0014852,0.0014852,0.0014852
15,37.6215,1.39475,0.97618,1.21218,0.89294,0.95334,0.96567,0.50244,1.28232,1.0073,1.17026,0.0014456,0.0014456,0.0014456
16,39.8546,1.33701,0.92025,1.15111,0.96667,0.82867,0.96044,0.56946,1.15435,0.81676,1.11158,0.001406,0.001406,0.001406
17,42.104,1.33028,0.89448,1.15137,0.85463,0.97143,0.95619,0.60073,1.10691,0.69691,1.07052,0.0013664,0.0013664,0.0013664
